champion,build,predCluster,PC0,PC1
Nasus,item_ap,1,0.8256467978224373,0.10557267269930573
Nasus,item_bruiser,3,-0.6801502629262149,-0.4741089249802479
Nasus,item_tank,3,-0.6018222712891914,-0.5362325656123371
Nautilus,item_tank,4,0.5567227240855678,-0.6669720191911973
Neeko,item_ap,5,1.1331750763390442,0.8093150855367814
Nidalee,item_ap,1,0.9441393811466413,-0.0677459701295519
Nocturne,item_ad,2,-0.8097269579199927,0.09774680919436865
Nocturne,item_bruiser,3,-0.6544213200634059,-0.4378439293826398
Nunu,item_ap,4,0.9161771148191055,-0.33656545961179074
Nunu,item_tank,4,0.8458379565285488,-0.4990620237098721
Olaf,item_bruiser,2,-0.7845402275629152,0.08299211653522955
Olaf,item_tank,2,-0.8826733063247466,0.09330182475168998
Orianna,item_ap,5,1.0386514705941488,0.6696796880630805
Ornn,item_tank,0,0.12087285989958169,-0.7090559823567373
Pantheon,item_ad,6,-0.9475268557212634,0.5337877416428845
Pantheon,item_bruiser,2,-0.894580451203818,0.1338115667071703
Poppy,item_tank,3,-0.49242196748260275,-0.47520277052449095
Pyke,item_ad,6,-0.9572052480981367,0.31952487117768646
Qiyana,item_ad,6,-0.91947127600933,0.655333645600206
Quinn,item_ad,6,-0.9713470643242083,0.5925773741523754
Rakan,item_ap,4,0.9715094196526489,-0.2992142400621671
Rakan,item_support,4,0.8251064842390492,-0.44426905275185835
Rakan,item_tank,4,0.7462153723866947,-0.5153487524979083
Rammus,item_tank,4,0.6435705972044072,-0.5822648372463155
RekSai,item_ad,6,-1.0886895667282506,0.3570139165700326
RekSai,item_bruiser,2,-1.1316882145066895,0.11855758271896406
Rell,item_tank,4,0.8333960798830903,-0.5051446292497027
Renekton,item_bruiser,2,-0.8379004695239626,-0.1392749712025666
Renekton,item_tank,3,-0.7232273302184918,-0.2149068228942058
Rengar,item_ad,6,-0.9625550558499009,0.4200049635449762
Rengar,item_bruiser,2,-0.8729196739502783,-0.057356103301348146
Riven,item_bruiser,2,-0.8771410621342557,0.18590439871353628
Rumble,item_ap,5,1.1140133350919244,0.5621882426945808
Ryze,item_ap,5,1.024404293757881,0.6107200265275559
Samira,item_ad,6,-0.9547359920619615,0.33369705481195305
Sejuani,item_tank,0,-0.2838020789739226,-0.7131055430216146
Senna,item_ad,2,-0.9599724758342574,0.1870212970485547
Seraphine,item_ap,1,0.9827637572348316,0.038113644659373724
Seraphine,item_support,4,0.905655276092062,-0.21993986918495062
Sett,item_bruiser,2,-0.9165499911974321,0.03969584689898885
Sett,item_tank,2,-0.8241553658061705,0.00029188664884853983
Shaco,item_ad,3,-0.41126791274895275,-0.2823605786855399
Shaco,item_ap,5,1.1007794467208927,0.6795245432779597
Shen,item_tank,0,-0.11925256576412566,-0.6278558189208316
Shyvana,item_ap,1,0.806457126501315,0.18094076999956052
Singed,item_ap,1,0.9572689506148684,-0.14951516833254955
Singed,item_tank,4,0.8516040687198919,-0.34025858678540555
Sion,item_ad,2,-0.9059667772345307,-0.09113631658207043
Sion,item_tank,3,-0.5292341459335256,-0.7334866131728409
Sivir,item_ad,6,-0.9163767396456757,0.7367140275587564
Skarner,item_tank,0,-0.22334100550417435,-0.5092007738140208
Sona,item_ap,4,0.8393360225510093,-0.32614366802973077
Sona,item_support,4,0.8449948725786783,-0.3102963235704971
Soraka,item_ap,4,0.8394446150467134,-0.3150864963745767
Soraka,item_support,4,0.8931255384582217,-0.295093209092836
Soraka,item_tank,4,0.8807679370536344,-0.2900218656539728
Swain,item_ap,4,0.9161993827950755,-0.43650560278172607
Sylas,item_ap,4,0.8716339626628598,-0.33672203898161907
Syndra,item_ap,5,1.09206124232611,0.8500443693108691
TahmKench,item_tank,4,0.5574097730157078,-0.6225763450946188
Taliyah,item_ap,5,1.1203410469689965,0.783547755103158
Talon,item_ad,6,-0.9502437131801014,0.6200658203810502
Talon,item_bruiser,2,-0.8428299238668909,0.2458293608415563
Taric,item_tank,4,0.5629024578473429,-0.5083667514677048
Teemo,item_ap,5,1.0179484481414518,0.5240994202655554
Thresh,item_ad,0,-0.10703013586113655,-0.4382092246337047
Thresh,item_tank,4,0.6728336182752582,-0.5578839831865734
Tristana,item_ad,6,-0.9548871165546988,0.4071467722752892
Trundle,item_bruiser,3,-0.7641109783105069,-0.47218602730141623
Trundle,item_tank,3,-0.5310524144359628,-0.5230659454629609
Tryndamere,item_ad,6,-0.9669945626190836,0.2948293873351047
TwistedFate,item_ad,0,-0.0773794974077157,-0.07540806419837498
TwistedFate,item_ap,5,1.0314030989565932,0.6061960320644433
Twitch,item_ad,2,-0.9755742305511986,0.2164439988822026
Twitch,item_ap,2,-0.8156080314887489,-0.09473832550123622
Udyr,item_ad,6,-0.9763756727275501,0.3130337142449623
Udyr,item_bruiser,2,-0.9748973213503626,-0.07419632626240155
Udyr,item_tank,3,-0.46114960320331344,-0.40396869205146224
Urgot,item_bruiser,2,-0.9307041999098812,0.23770079619037396
Urgot,item_tank,2,-0.8508160375569702,0.21141724069053294
Varus,item_ad,6,-0.8982117930882639,0.29466103505580826
Vayne,item_ad,2,-1.0417964412530603,0.23523525602309928
Veigar,item_ap,5,1.1162825094925233,0.8163684883719686
Velkoz,item_ap,1,1.0079827489359088,-0.0815645323828622
Vex,item_ap,5,1.1822140382303004,0.6142238942718955
Vi,item_ad,6,-1.011240187439308,0.5368264957459186
Vi,item_bruiser,2,-1.0962326507838493,0.16316609440625765
Viego,item_ad,2,-0.9303784305588291,-0.07450668347044845
Viego,item_bruiser,2,-0.8832553282146992,-0.15312862771354593
Viktor,item_ap,5,1.120918372862767,0.8446978849852199
Vladimir,item_ap,4,0.8662109401845284,-0.43061766362070586
Volibear,item_bruiser,3,-0.9037346946503908,-0.4433346889738802
Volibear,item_tank,0,-0.364692300038759,-0.6709044160920531
Warwick,item_ad,0,-0.15683678456704647,-0.7103582092736381
Warwick,item_bruiser,0,-0.32163300026363967,-0.659278208531024
Warwick,item_tank,0,-0.12826025383333714,-0.6342571202559086
Xayah,item_ad,6,-0.9587259805915919,0.6839805396945278
Xerath,item_ap,5,1.1218126692928752,0.8252811258461688
XinZhao,item_ad,2,-0.9940758159465026,0.15675214410902635
XinZhao,item_bruiser,2,-0.9695757131127866,-0.05212511126863159
Yasuo,item_ad,6,-0.908196341988307,0.6007865527475728
Yone,item_ad,2,-0.9443983243880752,0.07411743220719011
Yorick,item_ad,3,-0.9015682123272881,-0.27155967226903927
Yorick,item_bruiser,3,-0.6972437154994922,-0.41882962053936135
Yorick,item_tank,3,-0.42999942723816187,-0.5439197166486364
Yuumi,item_ap,4,0.968932032132855,-0.3086545190131013
Yuumi,item_support,4,0.872349748514329,-0.32704378310237914
Zac,item_ap,4,1.1095560190135207,-0.43960799922942045
Zac,item_tank,4,0.7690143355236987,-0.5732480443653414
Zed,item_ad,6,-0.9882630069471378,0.6874094083397172
Ziggs,item_ap,5,1.1152826755693668,0.8278726197803252
Zilean,item_ap,1,0.9620276319998653,-0.07268194916401562
Zoe,item_ap,1,1.0151506775749837,0.05574319160218479
Zyra,item_ap,5,1.1038038358079558,0.7806386535448245
