,champion,build,C0,C1,C2,C3,C4,C5,C6,C7,C8
70,Jinx,item_ad,0.08794408852649971,0.0768782760629004,0.007571345369831101,0.27140361094933024,0.0034944670937682005,0.008736167734420501,0.0,0.009318578916715201,0.5346534653465347
71,Kaisa,item_ad,0.14452554744525548,0.11824817518248175,0.01897810218978102,0.29635036496350364,0.0,0.00291970802919708,0.016058394160583942,0.00583941605839416,0.3970802919708029
72,Kaisa,item_ap,0.10315186246418338,0.09312320916905444,0.39255014326647564,0.0014326647564469914,0.0,0.004297994269340974,0.35959885386819485,0.0,0.045845272206303724
73,Kalista,item_ad,0.1751412429378531,0.07909604519774012,0.0,0.256120527306968,0.0,0.003766478342749529,0.0018832391713747645,0.022598870056497175,0.4613935969868173
74,Karma,item_ap,0.11555555555555555,0.08088888888888889,0.5511111111111111,0.0,0.033777777777777775,0.13066666666666665,0.088,0.0,0.0
75,Karma,item_support,0.0514018691588785,0.08878504672897196,0.06074766355140187,0.0,0.04672897196261682,0.7429906542056075,0.009345794392523364,0.0,0.0
76,Karthus,item_ap,0.03855421686746988,0.08755020080321285,0.3236947791164659,0.0,0.03453815261044177,0.005622489959839358,0.5100401606425703,0.0,0.0
77,Kassadin,item_ap,0.22580645161290322,0.11290322580645161,0.05555555555555555,0.0017921146953405018,0.05197132616487455,0.008960573476702509,0.5286738351254481,0.014336917562724014,0.0
78,Katarina,item_ap,0.3348783314020857,0.07184241019698726,0.009269988412514484,0.016222479721900347,0.004634994206257242,0.004634994206257242,0.5214368482039398,0.03592120509849363,0.0011587485515643105
79,Katarina,item_bruiser,0.23837209302325582,0.046511627906976744,0.005813953488372093,0.12790697674418605,0.01744186046511628,0.0,0.06976744186046512,0.45348837209302323,0.040697674418604654
80,Kayle,item_ad,0.22759856630824374,0.08781362007168458,0.017921146953405017,0.15770609318996415,0.014336917562724014,0.04659498207885305,0.034050179211469536,0.05913978494623656,0.3548387096774194
81,Kayle,item_ap,0.2520775623268698,0.08448753462603878,0.0332409972299169,0.05955678670360111,0.055401662049861494,0.0886426592797784,0.17590027700831026,0.09695290858725762,0.15373961218836565
82,Kayn,item_ad,0.3607142857142857,0.08928571428571429,0.0,0.13214285714285715,0.007142857142857143,0.007142857142857143,0.0,0.18571428571428572,0.21785714285714286
83,Kayn,item_bruiser,0.1043956043956044,0.09340659340659341,0.0,0.005494505494505495,0.03296703296703297,0.0,0.0,0.7472527472527473,0.016483516483516484
84,Kennen,item_ap,0.3356401384083045,0.06920415224913495,0.23356401384083045,0.0,0.039792387543252594,0.0017301038062283738,0.31833910034602075,0.0017301038062283738,0.0
85,Khazix,item_ad,0.257843137254902,0.07647058823529412,0.0,0.2950980392156863,0.0,0.004901960784313725,0.000980392156862745,0.030392156862745098,0.33431372549019606
86,Kindred,item_ad,0.16087516087516088,0.11840411840411841,0.0,0.2985842985842986,0.0,0.007722007722007722,0.002574002574002574,0.08622908622908623,0.3256113256113256
87,Kled,item_bruiser,0.08496732026143791,0.0392156862745098,0.0,0.0196078431372549,0.029411764705882353,0.0032679738562091504,0.0,0.7973856209150327,0.026143790849673203
88,Kled,item_tank,0.10909090909090909,0.09090909090909091,0.0,0.03636363636363636,0.12727272727272726,0.0,0.0,0.5636363636363636,0.07272727272727272
89,KogMaw,item_ad,0.12131147540983607,0.08032786885245902,0.04262295081967213,0.3360655737704918,0.001639344262295082,0.004918032786885246,0.17704918032786884,0.011475409836065573,0.22459016393442624
90,KogMaw,item_ap,0.03488372093023256,0.0436046511627907,0.3168604651162791,0.0029069767441860465,0.005813953488372093,0.0029069767441860465,0.5843023255813954,0.0,0.00872093023255814
91,Leblanc,item_ap,0.24097331240188383,0.0706436420722135,0.15306122448979592,0.0015698587127158557,0.005494505494505495,0.00706436420722135,0.5188383045525903,0.0015698587127158557,0.0007849293563579278
92,LeeSin,item_ad,0.2889733840304182,0.09505703422053231,0.0,0.20152091254752852,0.015209125475285171,0.0038022813688212928,0.011406844106463879,0.08745247148288973,0.2965779467680608
93,LeeSin,item_bruiser,0.14553472987872107,0.10804851157662625,0.0,0.04520396912899669,0.08930540242557883,0.004410143329658214,0.0,0.5336273428886439,0.07386990077177508
94,Leona,item_tank,0.048216007714561235,0.07328833172613308,0.01446480231436837,0.0,0.793635486981678,0.04532304725168756,0.006750241080038573,0.01832208293153327,0.0
95,Lillia,item_ap,0.10914760914760915,0.08212058212058213,0.13721413721413722,0.002079002079002079,0.06756756756756757,0.010395010395010396,0.5540540540540541,0.036382536382536385,0.0010395010395010396
96,Lissandra,item_ap,0.06312292358803986,0.09966777408637874,0.4003322259136213,0.0033222591362126247,0.132890365448505,0.011627906976744186,0.2840531561461794,0.0049833887043189366,0.0
97,Lucian,item_ad,0.1351863550221099,0.082122552116235,0.0012634238787113076,0.32785849652558435,0.0,0.0006317119393556538,0.0012634238787113076,0.007580543272267846,0.44409349336702464
98,Lulu,item_ap,0.10303030303030303,0.09090909090909091,0.22424242424242424,0.0,0.006060606060606061,0.5696969696969697,0.006060606060606061,0.0,0.0
99,Lulu,item_support,0.03784403669724771,0.10321100917431193,0.014908256880733946,0.0,0.028669724770642203,0.8153669724770642,0.0,0.0,0.0
100,Lux,item_ap,0.008781558726673985,0.08122941822173436,0.8391877058177827,0.0,0.009330406147091108,0.026344676180021953,0.03512623490669594,0.0,0.0
101,Malphite,item_ap,0.3338870431893688,0.08803986710963455,0.23837209302325582,0.0008305647840531562,0.07724252491694353,0.009136212624584718,0.24750830564784054,0.0024916943521594683,0.0024916943521594683
102,Malphite,item_tank,0.19008264462809918,0.08264462809917356,0.0743801652892562,0.005509641873278237,0.49586776859504134,0.027548209366391185,0.05785123966942149,0.05234159779614325,0.013774104683195593
103,Malzahar,item_ap,0.022113022113022112,0.07493857493857493,0.7469287469287469,0.0012285012285012285,0.03194103194103194,0.006142506142506142,0.11547911547911548,0.0,0.0012285012285012285
