,champion,build,predCluster,PC0,PC1
184,Trundle,item_bruiser,1,0.05670898114379283,-0.2572165894992325
185,Trundle,item_tank,1,0.030766036888136946,-0.24103513923687853
186,Tryndamere,item_ad,5,0.30434733017498916,-0.046455470705761184
187,TwistedFate,item_ad,1,0.005205588416254558,-0.13313239412165512
188,TwistedFate,item_ap,6,-0.4826661576624662,0.313422899864367
189,Twitch,item_ad,2,0.630671461296433,0.30754485182423325
190,Twitch,item_ap,1,0.10699002997927164,-0.15022460047579625
191,Udyr,item_ad,1,0.020186532424012818,-0.22732830396214868
192,Udyr,item_bruiser,1,0.02202868044410773,-0.23958758541165445
193,Udyr,item_tank,1,0.020252255169406222,-0.22266736756385558
194,Urgot,item_bruiser,5,0.18480345340716445,-0.14515239688912882
195,Urgot,item_tank,1,0.03780467825018549,-0.2187825580380553
196,Varus,item_ad,4,0.7256378159613949,0.6346118586640459
197,Vayne,item_ad,4,0.8219202884183757,0.4680186880712731
198,Veigar,item_ap,0,-0.6704890512389166,0.5467574632853179
199,Velkoz,item_ap,0,-0.5014465507068242,0.5008468432166543
200,Vex,item_ap,0,-0.6441649924429614,0.47271445445306254
201,Vi,item_ad,1,0.05063699038310579,-0.20061844082133237
202,Vi,item_bruiser,5,0.18063462090139998,-0.16272931166651983
203,Viego,item_ad,5,0.21775986637920264,-0.19105652674115456
204,Viego,item_bruiser,5,0.1617457500671204,-0.2460447901260313
205,Viktor,item_ap,3,-0.28753975300259504,0.0925495229981011
206,Vladimir,item_ap,7,-0.24820619016599377,-0.06927298760800459
207,Volibear,item_bruiser,1,0.04134640444198758,-0.222715143884196
208,Volibear,item_tank,1,-0.03394129957456026,-0.18826539195049877
209,Warwick,item_ad,1,0.006949429014687323,-0.25556719622492524
210,Warwick,item_bruiser,1,0.05623869676962147,-0.2669733649903945
211,Warwick,item_tank,1,0.0025890021370184205,-0.24038799154771262
212,Xayah,item_ad,4,0.7804524522453743,0.412508241565454
213,Xerath,item_ap,6,-0.45997502490025766,0.27749858237625014
214,XinZhao,item_ad,1,0.09837245193432413,-0.19855329404680952
215,XinZhao,item_bruiser,5,0.15882861433480863,-0.23363194791663433
216,Yasuo,item_ad,2,0.4554450668278399,0.22488829479464564
217,Yone,item_ad,2,0.38513628764348895,0.1179794960289374
218,Yorick,item_ad,1,0.04275392694515186,-0.21585911445348646
219,Yorick,item_bruiser,1,0.07657376987672951,-0.26495610749551735
220,Yorick,item_tank,1,0.015079371951264596,-0.2536078463021203
221,Yuumi,item_ap,7,-0.1091431852213692,-0.13764253094821338
222,Yuumi,item_support,7,-0.1715948278406384,-0.11063766529493518
223,Zac,item_ap,1,-0.02757105691857694,-0.21180752518364324
224,Zac,item_tank,1,-0.04252274656109275,-0.28175167462069167
225,Zed,item_ad,4,0.6922180632218312,0.3490791584573049
226,Ziggs,item_ap,0,-0.5582979102518771,0.39829943479566915
227,Zilean,item_ap,6,-0.4447028872747209,0.2097547527759865
228,Zoe,item_ap,6,-0.4573007085560249,0.3243879514579638
229,Zyra,item_ap,6,-0.4087414237845391,0.23767165962656156
