champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower,c7_upper,c7_avg,c7_lower,c8_upper,c8_avg,c8_lower
Draven,item_ad,0.13274,0.0348,0.0,0.0,0.0,0.0,0.32058,0.06827,0,0.0,0.0,0.0,0.0,0.0,0,0.0725,0.00522,0.0,1.12658,0.79603,0.4654875071571868,0.31626,0.09568,0.0,1e-05,0.0,0.0
Ekko,item_ap,0.30452,0.08647,0.0,0.42353,0.14717,0.0,0.00815,0.00078,0,0.7582,0.36894,0.0,0.33202,0.07305,0,0.12138,0.02219,0.0,0.00033,1e-05,0.0,0.02401,0.00172,0.0,0.66128,0.29966,0.0
Elise,item_ap,0.18245,0.03148,0.0,0.36509,0.12654,0.0,0.00189,0.00015,0,0.46032,0.161,0.0,0.36823,0.08664,0,0.13604,0.02468,0.0,0.00033,2e-05,0.0,0.00031,3e-05,0.0,0.95776,0.56946,0.18116023884944837
Evelynn,item_ap,0.12863,0.02317,0.0,0.42156,0.14204,0.0,0.00029,2e-05,0,0.69755,0.30894,0.0,0.35905,0.08297,0,0.08301,0.00926,0.0,0.0,0.0,0.0,0.00699,0.00046,0.0,0.84316,0.43314,0.023120806629308155
Ezreal,item_ad,1.11695,0.77071,0.4244711323264689,0.00069,2e-05,0.0,0.33862,0.07514,0,0.01504,0.00055,0.0,0.00607,0.00016,0,0.03754,0.00259,0.0,0.21532,0.05076,0.0,0.30456,0.09979,0.0,0.00952,0.00029,0.0
Fiddlesticks,item_ap,0.02197,0.00512,0.0,0.46737,0.17385,0.0,0.00077,4e-05,0,0.77089,0.3594,0.0,0.41079,0.10462,0,0.13409,0.02543,0.0,0.00175,6e-05,0.0,0.00043,3e-05,0.0,0.70039,0.33145,0.0
Fiora,item_ad,0.02378,0.00451,0.0,0.0,0.0,0.0,0.33362,0.07246,0,0.00258,0.00031,0.0,0.0,0.0,0,0.03598,0.0053,0.0,0.40842,0.12606,0.0,1.15075,0.79137,0.43197878187935596,0.0,0.0,0.0
Fiora,item_bruiser,0.03235,0.00518,0.0,0.0,0.0,0.0,0.3491,0.07904,0,0.02122,0.00174,0.0,0.0,0.0,0,0.00198,0.00016,0.0,0.23719,0.05837,0.0,1.16686,0.8555,0.5441353490855263,0.0,0.0,0.0
Fizz,item_ap,0.33934,0.09139,0.0,0.1147,0.026,0.0,0.08869,0.00808,0,0.50857,0.19078,0.0,0.3469,0.07933,0,0.20083,0.0463,0.0,0.00024,1e-05,0.0,0.05008,0.00376,0.0,0.97353,0.55434,0.13515152552651
Galio,item_ap,0.05831,0.01417,0.0,0.26402,0.08683,0.0,0.00044,7e-05,0,0.50066,0.2105,0.0,0.42636,0.11104,0,0.46783,0.17675,0.0,0.0,0.0,0.0,0.00021,3e-05,0.0,0.75374,0.40061,0.04749085651929813
